id,title,artist,track_id,artist_id,rank,hit,artist_popularity,followers,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2751,Ships In The Night,Mat Kearney,0RUXHlYhA057fCOe2vqIqu,2NQEwAVHBNcI0tGMLlWwF1,87,No,66,298031,57,0.45,0.877,9,-3.744,1,0.0602,0.177,5.87e-06,0.0454,0.16699999999999998,178.041
131,My My My!,Troye Sivan,71T7xF5wLbDRg76jxAwDqA,3WGpXCj9YhhfX11TToZcXP,80,No,80,1950989,78,0.6970000000000001,0.472,1,-7.849,1,0.0779,0.0043,9.67e-05,0.044,0.49,102.983
3114,Double Vision,3OH!3,3o2ESAMet1zR1aASlzrIxO,0FWzNDaEu9jdgcYTbcOa4F,87,No,65,377272,54,0.581,0.888,0,-3.198,1,0.0587,0.0018,0.0,0.413,0.629,120.041
6235,Brotha,Angie Stone,2sNAjuCXxyj8jHt93t9IJ9,2hWr3AjjKOCVmWcwvuT4uM,52,No,55,201336,49,0.768,0.4320000000000001,7,-9.155,0,0.375,0.511,0.0,0.109,0.672,131.97299999999998
2488,Fly / I Believe I Can Fly,Glee Cast,0sEIXE4ArDnStAbONgJUAK,0SCbttzoZTnLFebDYmAWCm,56,No,77,833519,45,0.526,0.8490000000000001,10,-4.785,1,0.0394,0.023,0.0,0.18600000000000005,0.232,121.993
2913,Let Me Down Easy,Billy Currington,1tZ5C8zI326sIB4kBErdmC,1By9QBFnjZAoI83BZppHlt,46,No,73,818054,61,0.61,0.4970000000000001,1,-4.885,1,0.027000000000000003,0.362,0.0,0.107,0.163,125.029
4699,A Great Big Sled,The Killers Featuring Toni Halliday,6398vUKLbric3lZ7bcque3,0C0XlULifJtAgn6ZNCW2eu,54,No,82,3130109,26,0.529,0.8690000000000001,0,-3.846,1,0.0587,0.00238,1.91e-06,0.181,0.285,127.952
3108,Airplanes,B.o.B Featuring Hayley Williams,6lV2MSQmRIkycDScNtrBXO,5ndkK3dpZLKtBklKjxNQwT,2,Yes,77,1286379,77,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033
583,I'm Better,Missy Elliott Featuring Lamb,2Kf9fwIOwZwd6Aw7OxfkF0,2wIVse2owClT7go1WT98tk,71,No,75,714579,60,0.926,0.354,10,-10.773,1,0.511,0.374,0.0,0.49,0.561,105.005
233,Feed Me Dope,Future,3lyeSiAIdLoZUHhV8psOTI,1RyvyyTE3xzB2ZywiAwp0i,68,No,93,5968139,68,0.853,0.688,8,-6.509,0,0.29600000000000004,0.0118,0.0,0.151,0.565,150.012
811,M.I.L.F. $,Fergie,3osQ5lSSqZb8HWRozdbVPw,3r17AfJCCUqC9Lf0OAc73G,34,No,74,1878197,69,0.773,0.706,0,-5.709,1,0.0999,0.005379999999999999,0.0148,0.0208,0.693,160.912
4817,Morris Brown,OutKast Featuring Scar & Sleepy Brown,18uAu5gCnoGGNYQu8LeAr1,1G9G7WwrXka3Z1r7aIDjI7,95,No,77,883079,47,0.723,0.784,6,-4.74,0,0.297,0.172,2.77e-06,0.685,0.556,94.216
6787,I Learned From The Best,Whitney Houston,3wACjmQo7ZkRNMLfZXndFB,6XpaIBNiVzIetEPCWDvAFP,27,Yes,77,2484834,47,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.94899999999996
4636,Keep Your Mind Wide Open,AnnaSophia Robb,7CG8Oz7GD8cTdU9SausPhj,6Hly7A8KsiiIDP6TW6j2SV,90,No,12,460,26,0.499,0.551,9,-9.626,1,0.027000000000000003,0.00678,0.0,0.0843,0.664,83.506
3265,Gimmie That Girl,Joe Nichols,4bT9arnOOeRLIn52sLjTIh,4aJTB79uwT4sP0Nb8QGWHc,34,No,63,264143,54,0.56,0.877,2,-4.115,1,0.0966,0.237,0.000357,0.865,0.6629999999999999,81.01899999999998
503,Lose You,Drake,2Na0z2gfN67Rzf0vp74Wi3,3TVXtAsR1Inumwj472S9r4,64,No,100,18311720,64,0.519,0.5760000000000001,4,-9.162,1,0.414,0.736,0.0,0.371,0.373,87.98299999999998
1976,Hopeless Wanderer,Mumford & Sons,7o7CXsKgDXhxbSMrqGVSd0,3gd8FJtBJtkRxdfbTu19U2,59,No,78,4103188,59,0.336,0.584,7,-7.532,0,0.0349,0.0165,0.00418,0.106,0.203,79.945
4335,Falling In Love At A Coffee Shop,Landon Pigg,1KHdq8NK9QxnGjdXb55NiG,1whjlG0NSaQytgDIWz10GS,93,No,45,28265,57,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.45700000000002
6567,Girls Dem Sugar,Beenie Man Featuring Mya,3j8EEMm9kbPLqByuaHmUmQ,4L3GTE04bW5N7azA9QPhjA,54,No,61,165879,57,0.603,0.782,2,-4.832,1,0.162,0.118,0.0,0.363,0.731,124.303
3038,Stuck Like Glue,Sugarland,0JcKdUGNR7zI4jJDLyYXbi,0hYxQe3AK5jBPCr5MumLHD,17,Yes,60,550284,60,0.62,0.799,1,-4.702,1,0.0996,0.322,0.0,0.0565,0.804,168.024
531,Eraser,Ed Sheeran,7oolFzHipTMg2nL7shhdz2,6eUKZXaKkcviH0Ku9w2n3V,90,No,96,21431751,77,0.64,0.812,8,-5.647,0,0.0834,0.086,0.0,0.0509,0.914,86.01299999999998
1414,Don't Tell 'Em,Jeremih Featuring YG,0Dc7J9VPV4eOInoxUiZrsL,3KV3p5EY4AvKxOlhGHORLg,6,Yes,82,1923445,70,0.851,0.525,2,-5.221,0,0.0874,0.421,0.0,0.111,0.405,97.988
2161,Call Me Maybe,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,6sFIWsNpZYqfjUpaCgueju,1,Yes,73,2427924,70,0.778,0.585,7,-6.502000000000002,1,0.0435,0.0123,0.0,0.108,0.626,120.069
5256,I'll Take That As A Yes (The Hot Tub Song),Phil Vassar,2f44w3kcYPm9NEVXmbCoTI,1XhhO2dTs2fKyhILj0aam6,89,No,55,85011,29,0.653,0.76,7,-3.774,1,0.0284,0.0533,0.0,0.505,0.59,91.845
6146,One Mic,Nas,6MMuI4k4Vs5ghtDH5i2hBg,20qISvAhX20dpIbOOzGK3q,43,No,75,1150331,54,0.7829999999999999,0.608,0,-5.742000000000001,0,0.361,0.0574,0.0,0.102,0.429,91.672
247,They Don't Know,Jason Aldean,3bzE57iNavJJxXL9GgBiOK,3FfvYsEGaIb52QPXhg4DcH,67,No,78,2028797,66,0.434,0.921,10,-2.248,0,0.0688,0.0207,0.00209,0.116,0.426,171.945
2770,For The First Time,The Script,09ZcYBGFX16X8GMDrvqQwt,3AQRLZ9PuTAozP28Skbq8V,23,Yes,79,3073650,67,0.396,0.629,9,-4.78,1,0.0287,0.0328,0.0,0.183,0.358,173.794
3906,"You're Gonna Go Far, Kid",The Offspring,6TfBA04WJ3X1d1wXhaCFVT,5LfGQac0EIXyAN8aUwmNAQ,63,No,77,2029235,74,0.546,0.905,0,-3.103,1,0.0671,0.00511,0.0,0.211,0.598,126.12
1055,Nothin' Like You,Dan + Shay,4W38RXuQNuoTSwVsQA1OGC,7z5WFjZAIYejWy0NI5lv4T,51,No,74,366308,68,0.589,0.7040000000000001,4,-4.772,1,0.0303,0.151,0.0,0.067,0.4370000000000001,84.956
2155,She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,3bWYui3ElpPYeOGM8Gmws2,1SAugjIcuwNPKS4urSB7A6,96,No,55,148782,43,0.484,0.7559999999999999,11,-6.948,0,0.16,0.000369,0.0,0.115,0.39,102.825
6745,That's What I'm Looking For,Da Brat,3hVNySmPHrzsrpwxL3j6vT,2I1bnmb9VQEQGKHxvr0gSf,56,No,55,98891,49,0.929,0.728,1,-5.524,1,0.102,0.344,0.0,0.055,0.961,130.076
982,I Love This Life,LOCASH,21jkhW2773dELgTMRJcMfI,5IcGbIAgdns0R5EJKHMjCQ,56,No,61,88727,64,0.586,0.927,2,-3.014,1,0.0547,0.0164,7.24e-06,0.153,0.5489999999999999,111.977
6963,I'll Be Your Everything,Youngstown,4G4fDBH6HSJEHzj98JGCDw,0icdU2PQXnZ5Fo1EGkb6BU,71,No,20,5582,29,0.8220000000000001,0.899,9,-4.564,0,0.0349,0.0364,1.59e-06,0.0497,0.778,106.019
6756,The Best Day,George Strait,3fzDcbJZC7HoTHeH2Z1R4A,5vngPClqofybhPERIqQMYd,31,No,73,698035,45,0.6509999999999999,0.446,9,-6.541,1,0.0288,0.6890000000000001,0.0,0.312,0.314,132.38
4776,Chemicals React,Aly & AJ,7vOjTY220BqIttYDbwshED,5wugb0kaq0J6nyQ5Xgd17i,50,No,57,180776,47,0.508,0.888,11,-4.336,1,0.0778,0.00151,1.17e-06,0.0772,0.48,132.618
894,Purple Rain,Prince And The Revolution,54X78diSLoUDI3joC2bjMz,5a2EaR3hamoenG9rDuVn8j,4,Yes,74,2011830,75,0.3670000000000001,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.6890000000000001,0.189,113.066
6739,Graduation (Friends Forever),Vitamin C,45V4Mk7vZV2b9JfSWuUX9m,3OsUvoKmZA2gw8rETtxGlz,38,No,41,19464,55,0.583,0.637,0,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.00399999999998
4199,Shawty Get Loose,Lil Mama Featuring Chris Brown & T-Pain,0IpJnRaW6HylU6q0SjwDgl,5qK5bOC6wLtuLhG5KvU17c,10,Yes,49,32417,42,0.889,0.6759999999999999,1,-5.205,1,0.238,0.073,0.0,0.0824,0.617,115.047
6051,I Do (Wanna Get Close To You),3LW Featuring P. Diddy & Loon,1gf5KKoAbd1vUWwRKzeXF3,2lFHVcUeJ9Gq6AZiU3ZAOa,58,No,48,149631,33,0.836,0.491,1,-5.734,1,0.19,0.139,0.0,0.0489,0.862,97.303
3413,Down,Jay Sean Featuring Lil Wayne,7LP4Es66zdY7CyjepqmvAg,4pADjHPWyrlAF0FA7joK2H,1,Yes,69,528577,69,0.6629999999999999,0.693,11,-4.505,0,0.0311,0.0149,0.0,0.0778,0.71,66.002
2034,Like Jesus Does,Eric Church,3wxgj5N8ZKoZWHDw6FJUf2,2IvkS5MXK0vPGnwyJsrEyV,59,No,75,1334891,59,0.5760000000000001,0.355,1,-8.388,1,0.033,0.439,4.55e-05,0.13,0.299,137.232
3957,Anything Goes,Randy Houser,4dJ5dViPmuNPxOnxbwY1dr,56x8mYvS3cyDGAi8N2FxbB,92,No,65,339230,41,0.477,0.624,0,-4.5939999999999985,1,0.0332,0.5720000000000001,0.000134,0.0994,0.322,139.925
6843,Freakin' It,Will Smith,6Kqfv9iCW7B7cdq6uujZqf,41qil2VaGbD194gaEcmmyx,99,No,68,347142,40,0.873,0.833,1,-5.511,1,0.189,0.198,0.0,0.237,0.927,112.001
6428,"So Fresh, So Clean",OutKast,6glsMWIMIxQ4BedzLqGVi4,1G9G7WwrXka3Z1r7aIDjI7,30,No,77,883082,67,0.725,0.64,5,-7.905,0,0.332,0.0278,0.0,0.099,0.915,166.02900000000002
6708,Thong Song,Sisqo,5Mmk2ii6laakqfeCT7OnVD,6x9QLdzo6eBZxJ1bHsDkjg,3,Yes,59,211833,62,0.701,0.885,2,-6.81,1,0.0614,0.132,0.000197,0.0657,0.741,121.54
4293,Get My Drink On,Toby Keith,2W6J2WsyOTPGnaa4eC52uK,2bA6fzP0lMAQ4kz6CF61w8,88,No,69,810096,26,0.588,0.957,2,-4.2189999999999985,1,0.0521,0.0182,0.000348,0.207,0.794,100.46
3944,Fall For You,Secondhand Serenade,7lWF2mVr1KKbVnaT2nSlPo,6eouuqqGggqDlYRV63cgPo,21,Yes,63,424693,64,0.387,0.442,0,-7.086,1,0.0352,0.19,0.0,0.0788,0.382,169.481
2118,Who Booty,Jonn Hart Featuring IamSU!,3zl4HPDF1fCoTZnPjHgSsb,7vMpNua6oKT52WWHNUJ1No,66,No,52,33887,52,0.6859999999999999,0.541,4,-6.643,0,0.0356,0.0971,0.0,0.423,0.237,96.965
3991,Dangerous,Kardinal Offishall Featuring Akon,4NOZ35Dhucr6UlVyLOtktd,5P2rwRBgIN450RaJxdjYdA,5,Yes,60,19423,58,0.951,0.79,8,-5.79,1,0.081,0.00429,0.0,0.0845,0.78,117.007
6755,How Do You Like Me Now?!,Toby Keith,7rDcULv8vV16vetBjPJhuE,2bA6fzP0lMAQ4kz6CF61w8,31,No,69,810100,54,0.65,0.679,0,-8.937000000000003,1,0.0317,0.0712,8.63e-06,0.0882,0.6990000000000001,109.49
1963,LoveHate Thing,Wale Featuring Sam Dew,6kx16R0LMAyoXDvGqddZFy,67nwj3Y5sZQLl72VNUHEYE,89,No,77,1271122,53,0.736,0.691,8,-6.1179999999999986,1,0.16899999999999998,0.0771,0.0,0.0422,0.18,99.954
1435,Yellow Flicker Beat,Lorde,0Nf53RDPZEjFrQE4B5n6Vf,163tK9Wjr9P9DmM0AVK7lm,34,No,82,3019316,61,0.584,0.608,1,-8.437999999999999,1,0.0352,0.104,0.00024900000000000004,0.113,0.0633,94.976
3879,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,6ZULTiMcrmGeuj6GilRgod,6AMa1VFQ7qCi61tCRtVWXe,22,Yes,58,147723,40,0.58,0.442,0,-6.589,1,0.261,0.0275,0.0,0.0978,0.506,96.114
6811,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,3y5pef5Z472KoYxaSdig9I,1ZwdS5xdxEREPySFridCfh,72,No,82,3732911,40,0.882,0.775,8,-4.158,1,0.242,0.192,0.0,0.0937,0.847,93.985
1413,Steal My Girl,One Direction,2Bs4jQEGMycglOfWPBqrVG,4AK6F7OLvEQ5QYCBNiQWHq,13,Yes,84,9003430,71,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217
2710,How To Hate,Lil Wayne Featuring T-Pain,5DjLed65sri5juDG6kdPPK,55Aa2cqylxrFIXC767Z865,84,No,90,5914059,53,0.401,0.753,7,-5.851,1,0.105,0.27,0.0,0.61,0.277,145.373
4281,Crank That (Soulja Boy),Soulja Boy Tell'em,66TRwr5uJwPt15mfFkzhbi,6GMYJwaziB4ekv1Y6wCDWS,1,Yes,68,537525,70,0.732,0.7240000000000001,0,-2.104,1,0.101,0.511,0.0,0.0491,0.8079999999999999,140.13
595,Say It,Flume Featuring Tove Lo,1wfZdPy5FRWsdWaAEOG0Ml,6nxWCVXbOlEVRexSbLsTer,60,No,77,1403358,68,0.482,0.769,6,-4.473,1,0.0549,0.0343,0.00498,0.0953,0.4270000000000001,149.69
2274,Heart Attack,Trey Songz,1J36RjF8Mx8Yp2QWvFSPmv,2iojnBLj0qIMiKPvVhLnsH,35,No,81,2814074,56,0.607,0.8540000000000001,8,-4.867,0,0.166,0.0683,0.0,0.2,0.507,149.872
3766,Hoedown Throwdown,Miley Cyrus,6ntkwU1MhehTKgx4BWxX3f,5YGY8feqx7naU7z4HrwZM6,18,Yes,81,5268710,56,0.738,0.8029999999999999,8,-5.8660000000000005,0,0.0975,0.205,0.0,0.334,0.752,109.002
5560,The Outsider,A Perfect Circle,6CqYhhUPJORx1vvdTNc8jv,4DFhHyjvGYa9wxdHUjtDkc,79,No,68,560542,64,0.328,0.8420000000000001,6,-6.644,1,0.0882,0.000111,0.8029999999999999,0.0496,0.422,113.329
2924,Black And Yellow,Wiz Khalifa,5A6OHHy73AR5tLxgTc98zz,137W8MRPWKqSmrBGDBFSop,1,Yes,88,6644017,75,0.684,0.8340000000000001,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.5379999999999999,164.02
2895,You Be Killin Em,Fabolous,5I6YA7oHtraxwWQzzCugDt,0YWxKQj2Go9CGHCp77UOyy,63,No,73,665433,56,0.664,0.909,6,-3.552,0,0.22,0.444,0.0,0.525,0.557,93.977
7001,The Day The World Went Away,Nine Inch Nails,44sz0rNbTA687rs9CYi0IN,0X380XXQSNBYuleKzav5UO,17,Yes,68,858354,44,0.198,0.236,11,-7.586,1,0.0397,0.0226,0.77,0.0943,0.0722,129.211
3865,Chicken Fried,Zac Brown Band,4dGJf1SER1T6ooX46vwzRB,6yJCxee7QumYr820xdIsjo,20,Yes,75,918925,75,0.5660000000000001,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864
4408,1973,James Blunt,1BV0m40U0M4t1SLIsDnwZl,7KMqksf0UMdyA0UCf4R3ux,73,No,77,1303730,69,0.72,0.6679999999999999,9,-7.928,1,0.0269,0.0652,0.006640000000000001,0.0789,0.768,123.007
5575,Hey Ya!,OutKast,2PpruBYCo4H7WOBJ7Q2EwM,1G9G7WwrXka3Z1r7aIDjI7,1,Yes,77,883081,77,0.728,0.974,4,-2.261,0,0.0665,0.103,0.000532,0.175,0.965,79.52600000000002
4419,Same Girl,R. Kelly Duet With Usher,6OSmeoh8kXhCfz9WqvzDoJ,2mxe0TnaNL039ysAj51xPQ,20,Yes,77,1465095,66,0.7170000000000001,0.583,1,-5.008,1,0.146,0.506,0.0,0.0821,0.816,139.76
3157,I Want To Hold Your Hand,Glee Cast,5FeMd5rQHvn9oQQoD8j0Z9,0SCbttzoZTnLFebDYmAWCm,36,No,77,833521,45,0.484,0.261,7,-10.951,1,0.0267,0.664,1.09e-05,0.17,0.215,78.015
1575,Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,2l35CQqtYRh3d8ZIiBep4v,14,Yes,73,505845,78,0.72,0.7909999999999999,1,-4.689,1,0.124,0.0384,0.0,0.157,0.7559999999999999,102.071
5534,Paint Me A Birmingham,Tracy Lawrence,2kZZq09uK0oR9wwYJvgacb,2BQVRw9md4UKcGUrDXABCD,42,No,61,243227,62,0.519,0.52,6,-4.547,1,0.03,0.0757,0.0,0.166,0.281,129.862
1429,Anaconda,Nicki Minaj,794F99D5BQHS5ZGRXAs7I5,0hCNtLu0JehylgoiP8L4Gh,2,Yes,90,9947610,67,0.965,0.609,9,-6.229,1,0.196,0.0723,8.11e-06,0.268,0.628,129.99200000000002
6793,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1RS3LStQYhju50eBdD9Uul,4iHNK0tOyZPYnBU7nGAgpQ,1,Yes,77,2788592,56,0.472,0.532,10,-5.8820000000000014,1,0.0319,0.586,0.0,0.106,0.152,129.77700000000002
4929,Tonight I Wanna Cry,Keith Urban,0BHNSNcbTxQSwxXNnr9oUw,0u2FHSq3ln94y5Q57xazwf,36,No,77,2060816,60,0.557,0.385,7,-7.835,1,0.0262,0.8740000000000001,0.0,0.175,0.14800000000000002,103.73
5644,Walked Outta Heaven,Jagged Edge,06ZDLodo1UDVavc3MXREZ3,7Aq8lpLMSt1Zxu56pe9bmp,6,Yes,65,580683,58,0.67,0.616,10,-6.122999999999998,1,0.225,0.573,0.0,0.0535,0.523,120.129
4811,Summertime,Kenny Chesney,30ZGbfPsjDNCgL21Qzciuj,3grHWM9bx2E9vwJCdlRv9O,34,No,74,1629047,58,0.48,0.933,4,-4.874,1,0.0976,0.201,0.0,0.0663,0.721,167.976
6426,It's A Great Day To Be Alive,Travis Tritt,3oW6SWwGqiZSPTiAp7ZQoH,2M4Yt7oKGoYd0wqU44k4i2,33,No,64,316679,69,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93
1858,Bad Day,Justin Bieber,3RP0QOv0O6aRZQD2jae2j2,1uNFoZAHBGtllmzznpCI3s,53,No,90,20138160,46,0.6779999999999999,0.498,11,-6.81,0,0.0412,0.0247,0.0,0.183,0.305,81.98200000000001
2820,Bleed Red,Ronnie Dunn,3le02vCQLrhxWNi3C7AlDu,1iLuTmIgxCEiEllDSWkeIy,62,No,53,31417,45,0.487,0.6679999999999999,10,-4.251,1,0.0321,0.34600000000000003,4.56e-05,0.107,0.184,90.083
3706,Sooner Or Later,Michelle Branch,1r8kvW5Sax4ZsXfRkwM27z,5rScKX1Sh1U67meeUyTGwk,93,No,60,197512,33,0.685,0.759,7,-3.114,1,0.0288,0.13,0.0,0.12,0.757,116.201
2771,You Lie,The Band Perry,462tT5pBVstoLcOSJsBBKw,75FnCoo4FBxH5K1Rrx0k5A,42,No,60,652205,50,0.515,0.6629999999999999,6,-5.034,1,0.0348,0.408,1.23e-06,0.132,0.575,170.92
447,Call On Me,Starley,2L6orAlH8tBhiFTumIfMyF,02A3cEvlLLCbIMVDrK2GHV,65,No,70,39918,75,0.67,0.838,0,-4.0310000000000015,1,0.0362,0.0604,0.000611,0.159,0.7170000000000001,104.998
6294,Ugly,Bubba Sparxxx,3NOq1Gpiy4KwDni8NhOmHQ,3RPYHNSwe3w0mtfJwKIN9P,15,Yes,58,103685,43,0.7509999999999999,0.836,6,-5.676,1,0.194,0.309,3.71e-05,0.292,0.67,90.846
4595,Lips Of An Angel,Jack Ingram,7CnuusZCdhzNQlPdUDBhcA,7HNEfHmDlFofG6YnMt8G7N,77,No,40,15631,34,0.473,0.708,9,-4.2860000000000005,1,0.0308,0.0129,0.0,0.112,0.293,131.78799999999998
