title,artist,artist_popularity,followers
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,61,605061
The Cure,Lady Gaga,82,4552764
Weak,AJR,77,323067
Woman,Kesha Featuring The Dap-Kings Horns,81,3065247
Rollin,Calvin Harris Featuring Future & Khalid,87,10471058
Element.,Kendrick Lamar,96,8354410
Slide,Calvin Harris Featuring Frank Ocean & Migos,87,10471058
Hurricane,Luke Combs,76,273095
Get Low,Zedd & Liam Payne,87,2577588
Famous,21 Savage,91,3649480
Goosebumps,Travis Scott,92,2509781
T-Shirt,Migos,93,4750614
Tunnel Vision,Kodak Black,87,2744904
Sign Of The Times,Harry Styles,79,2137567
Who Dat Boy,"Tyler, The Creator",81,1753050
Portland,Drake Featuring Quavo & Travis Scott,100,18311713
Losin Control,Russ,84,1241585
Extra Luv,Future Featuring YG,93,5968143
How Not To,Dan + Shay,74,366307
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,83,1859955
To The Max,DJ Khaled Featuring Drake,83,1859955
If I Told You,Darius Rucker,71,751058
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",83,1859955
Cold,Maroon 5 Featuring Future,89,10228819
Good Drank,2 Chainz x Gucci Mane x Quavo,88,2518174
Shining,DJ Khaled Featuring Beyonce & JAY Z,83,1859955
Scars To Your Beautiful,Alessia Cara,83,2764447
Look At Me!,XXXTentacion,96,2858720
First Day Out,Kodak Black,87,2744903
My Old Man,Zac Brown Band,75,918922
Nobody Else But You,Trey Songz,81,2814054
Real Hitta,Plies Featuring Kodak Black,68,546487
Swang,Rae Sremmurd,84,2967515
Black,Dierks Bentley,74,1170660
Hometown Girl,Josh Turner,69,746251
Gyalchester,Drake,100,18311715
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,84,949601
Peek A Boo,Lil Yachty Featuring Migos,89,2677394
Met Gala,Gucci Mane Featuring Offset,89,1820366
Scared To Be Lonely,Martin Garrix & Dua Lipa,87,5359315
Human,Rag'n'Bone Man,76,574902
Paris,The Chainsmokers,90,6359783
Somethin Tells Me,Bryson Tiller,82,2298885
Self-Made,Bryson Tiller,82,2298885
Don't Get Too High,Bryson Tiller,82,2298885
Run Me Dry,Bryson Tiller,82,2298885
There For You,Martin Garrix x Troye Sivan,87,5359315
No Longer Friends,Bryson Tiller,82,2298885
Strangers,Halsey Featuring Lauren Jauregui,87,2920676
Money On You,Chris Blue,35,8109
Chained To The Rhythm,Katy Perry Featuring Skip Marley,85,9247148
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,81,1015961
Boy,Lee Brice,71,650540
Either Way,Chris Stapleton,83,658936
Any Ol' Barstool,Jason Aldean,78,2028803
Love On The Brain,Rihanna,92,20858170
Both,Gucci Mane Featuring Drake,89,1820366
I Feel It Coming,The Weeknd Featuring Daft Punk,95,9887909
Bounce Back,Big Sean,88,3736795
The Weekend,Brantley Gilbert,72,1012672
Prblms,6LACK,79,755736
Yeah Boy,Kelsea Ballerini,71,344157
Good Life,G-Eazy & Kehlani,89,2956808
Cake,Flo Rida & 99 Percent,81,5410236
Ghost In This House,Lauren Duski,34,3561
Everybody,Logic,92,2189700
The Night We Met,Lord Huron,74,316771
Galway Girl,Ed Sheeran,96,21431735
Moves,Big Sean,88,3736796
Down,Marian Hill,68,325626
Can't Stop The Feeling!,Justin Timberlake,88,6109397
First Time,Kygo & Ellie Goulding,88,2722783
XXX.,Kendrick Lamar Featuring U2,96,8354413
Party,Chris Brown Featuring Usher & Gucci Mane,91,5835954
Yah.,Kendrick Lamar,96,8354413
Sweet Creature,Harry Styles,79,2137567
Selfish,Future Featuring Rihanna,93,5968143
Call On Me,Starley,70,39918
You're Welcome,Dwayne Johnson,64,5981
Mercy,Shawn Mendes,89,7976729
Lust For Life,Lana Del Rey Featuring The Weeknd,85,5929032
Feel.,Kendrick Lamar,96,8354413
Pride.,Kendrick Lamar,96,8354413
Lust.,Kendrick Lamar,96,8354413
Still Got Time,Zayn Featuring PARTYNEXTDOOR,83,3826355
Green Light,Lorde,82,3019306
How Far I'll Go,Auli'i Cravalho,70,22424
Hard Times,Paramore,80,2815000
Fear.,Kendrick Lamar,96,8354414
No Frauds,"Nicki Minaj, Drake & Lil Wayne",90,9947570
God.,Kendrick Lamar,96,8354414
Deja Vu,J. Cole,85,4644650
Blood.,Kendrick Lamar,96,8354414
Dirt On My Boots,Jon Pardi,73,368763
Duckworth.,Kendrick Lamar,96,8354414
Fast,Luke Bryan,80,2462721
Black SpiderMan,Logic Featuring Damian Lemar Hudson,92,2189700
Fake Love,Drake,100,18311719
Starboy,The Weeknd Featuring Daft Punk,95,9887911
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,89,10228821
Play That Song,Train,76,1964538
Free Smoke,Drake,100,18311719
Road Less Traveled,Lauren Alaina,69,160883
The One,The Chainsmokers,90,6359785
Draco,Future,93,5968143
Blem,Drake,100,18311719
Think A Little Less,Michael Ray,61,70922
Teenage Fever,Drake,100,18311719
Bar At The End Of The World,Kenny Chesney,74,1629008
How Far I'll Go,Alessia Cara,83,2764447
Million Reasons,Lady Gaga,82,4552766
Water Under The Bridge,Adele,85,8650573
Bad Things,Machine Gun Kelly x Camila Cabello,81,1015961
Speak To A Girl,Tim McGraw & Faith Hill,76,1935140
Tin Man,Miranda Lambert,69,1286087
The Heart Part 4,Kendrick Lamar,96,8354414
Sacrifices,Drake Featuring 2 Chainz & Young Thug,100,18311720
Conscience,Kodak Black Featuring Future,87,2744904
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",87,10471064
Get It Together,Drake Featuring Jorja Smith & Black Coffee,100,18311720
No Long Talk,Drake Featuring Giggs,100,18311720
KMT,Drake Featuring Giggs,100,18311720
4422,Drake Featuring Sampha,100,18311720
Jorja Interlude,Drake,100,18311720
Madiba Riddim,Drake,100,18311720
Ice Melts,Drake Featuring Young Thug,100,18311720
Do Not Disturb,Drake,100,18311720
Glow,Drake Featuring Kanye West,100,18311720
Everyday,Ariana Grande Featuring Future,86,13055278
Can't Have Everything,Drake,100,18311720
Party Monster,The Weeknd,95,9887912
Nothings Into Somethings,Drake,100,18311720
Let Me Love You,DJ Snake Featuring Justin Bieber,82,2540529
Lose You,Drake,100,18311720
Since Way Back,Drake Featuring PARTYNEXTDOOR,100,18311722
Make Me (Cry),Noah Cyrus Featuring Labrinth,79,260071
Skepta Interlude,Drake,100,18311722
Kill A Word,Eric Church Featuring Rhiannon Giddens,75,1334880
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,81,1903473
Black Beatles,Rae Sremmurd Featuring Gucci Mane,84,2967518
Heathens,twenty one pilots,84,7118600
Regret In Your Tears,Nicki Minaj,90,9947571
Better Man,Little Big Town,67,905678
Changed It,Nicki Minaj & Lil Wayne,90,9947571
Chanel,Frank Ocean,85,3099194
Liability,Lorde,82,3019311
I Got You,Bebe Rexha,88,1564703
Dive,Ed Sheeran,96,21431749
Sober Saturday Night,Chris Young Featuring Vince Gill,74,874407
Today,Brad Paisley,71,1083331
Selfish,PnB Rock,83,1085438
Happier,Ed Sheeran,96,21431749
Comin Out Strong,Future Featuring The Weeknd,93,5968143
Chantaje,Shakira Featuring Maluma,85,9799837
All Time Low,Jon Bellion,76,624796
Side To Side,Ariana Grande Featuring Nicki Minaj,86,13055277
New Man,Ed Sheeran,96,21431751
Supermarket Flowers,Ed Sheeran,96,21431751
What Do I Know?,Ed Sheeran,96,21431751
How Would You Feel (Paean),Ed Sheeran,96,21431751
Eraser,Ed Sheeran,96,21431751
Used To This,Future Featuring Drake,93,5968143
Hearts Don't Break Around Here,Ed Sheeran,96,21431752
Barcelona,Ed Sheeran,96,21431752
Star Of The Show,Thomas Rhett,81,1435086
A Guy With A Girl,Blake Shelton,76,2973870
Treat You Better,Shawn Mendes,89,7976733
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,48,37432
No Heart,21 Savage & Metro Boomin,91,3649484
Make Love,Gucci Mane & Nicki Minaj,89,1820366
Love Me Now,John Legend,82,3477005
Not Nice,PARTYNEXTDOOR,80,1209404
This Town,Niall Horan,80,1656227
Rent Money,Future,93,5968143
Guys My Age,Hey Violet,63,239727
Seein' Red,Dustin Lynch,73,568207
Super Trapper,Future,93,5968143
Dancing On My Own,Calum Scott,78,292245
No Favors,Big Sean Featuring Eminem,88,3736799
Zoom,Future,93,5968143
Starving,Hailee Steinfeld & Grey Featuring Zedd,87,1868633
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,56,51758
Bom Bidi Bom,Nick Jonas & Nicki Minaj,77,2654297
Helium,Sia,88,5791293
Way Down We Go,Kaleo,72,504386
Everything 1K,Kodak Black,87,2744905
Sex With Me,Rihanna,92,20858183
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,89,2956810
Cheap Thrills,Sia Featuring Sean Paul,88,5791293
Don't Let Me Down,The Chainsmokers Featuring Daya,90,6359785
The Greatest,Sia Featuring Kendrick Lamar,88,5791293
Bad Romance,Lady Gaga,82,4552767
HandClap,Fitz And The Tantrums,68,319531
Sacrifices,Big Sean Featuring Migos,88,3736802
Halfway Off The Balcony,Big Sean,88,3736802
Jump Out The Window,Big Sean,88,3736802
Owe Me,Big Sean,88,3736802
Beauty And The Beast,Ariana Grande & John Legend,86,13055280
80s Mercedes,Maren Morris,85,169218
OTW,DJ Luke Nasty,54,36706
Light,Big Sean Featuring Jeremih,88,3736802
Kelly Price,Migos Featuring Travis Scott,93,4750622
Blue Ain't Your Color,Keith Urban,77,2060759
X,21 Savage & Metro Boomin Featuring Future,91,3649484
Call Casting,Migos,93,4750622
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,85,3825697
I'm Better,Missy Elliott Featuring Lamb,75,714579
Get Right Witcha,Migos,93,4750622
If The Boot Fits,Granger Smith,68,143373
Dirty Laundry,Carrie Underwood,74,2127751
Fresh Eyes,Andy Grammer,73,444878
Culture,Migos Featuring DJ Khaled,93,4750622
Alone,Marshmello,92,2402564
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,68,109325
Cold Water,Major Lazer Featuring Justin Bieber & MO,85,3825697
Love On The Weekend,John Mayer,82,2714327
Song For Another Time,Old Dominion,74,284501
Say It,Flume Featuring Tove Lo,77,1403358
Water,Ugly God,71,829359
Running Back,Wale Featuring Lil Wayne,77,1271117
You Was Right,Lil Uzi Vert,90,3537957
In The Name Of Love,Martin Garrix & Bebe Rexha,87,5359315
Not Afraid Anymore,Halsey,87,2920678
Red Opps,21 Savage,91,3649484
Neighbors,J. Cole,85,4644655
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,84,1384620
